"corpus","user/isabelle.gribomont/jcds_react"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"aplausos",29149,60747,706.86676,3.10043,172.632
"epr",6239,5649,151.29651,0.28832,118.214
"exclamaciones",5259,4261,127.53138,0.21747,105.572
"farc-ep",7626,19511,184.93141,0.99581,93.161
"ezln",5995,19153,145.37947,0.97754,74.021
"zapatista",9725,45455,235.83241,2.31995,71.336
"imperialismo",19402,132427,470.50085,6.75886,60.769
"insurgente",11963,75063,290.10419,3.83110,60.256
"eln",7815,52557,189.51469,2.68243,51.736
"imperialista",13117,104408,318.08884,5.32882,50.418
"proletario",8246,62332,199.96649,3.18133,48.063
"revolucionario",78595,781377,1905.93823,39.88024,46.647
"pdpr-epr",1767,105,42.84996,0.00536,43.616
"oligarquía",8853,79427,214.68633,4.05383,42.678
"contrainsurgente",2153,4849,52.21051,0.24749,42.654
"fmln",4043,27141,98.04324,1.38523,41.524
"guerrillero",15592,164187,378.10788,8.37984,40.417
"hostigar",3930,28498,95.30297,1.45449,39.235
"político-militar",2109,6827,51.14351,0.34844,38.670
"camaradas",1625,1854,39.40644,0.09463,36.913
"antipopular",2005,6777,48.62149,0.34589,36.869
"risas",3171,23500,76.89713,1.19940,35.417
"burgués",15198,189774,368.55334,9.68576,34.584
"cedema",1373,94,33.29541,0.00480,34.132
"yanqui",4942,50662,119.84410,2.58571,33.702
"pdpr",1302,48,31.57366,0.00245,32.494
"m-19",1830,8178,44.37772,0.41739,32.015
"oligárquico",2774,22490,67.26984,1.14785,31.785
"mir",7812,98109,189.44194,5.00733,31.702
"represivo",8265,105924,200.42725,5.40619,31.443
"revisionismo",2041,12083,49.49450,0.61670,31.233
"proletariado",7498,96318,181.82741,4.91592,30.904
"insurgencia",3075,28770,74.56912,1.46837,30.615
"contrarrevolucionario",2889,27195,70.05859,1.38799,29.757
"subcomandante",1764,9691,42.77721,0.49461,29.290
"prt",1510,5792,36.61768,0.29561,29.035
"mrta",1404,4071,34.04717,0.20778,29.018
"explotador",3621,40573,87.80968,2.07078,28.921
"combatiente",8730,125139,211.70357,6.38690,28.795
"yankis",1550,7204,37.58769,0.36768,28.214
"yanki",1374,5864,33.31967,0.29929,26.414
"guerrilla",10668,174954,258.70029,8.92937,26.155
"reaccionario",5475,80759,132.76941,4.12181,26.118
"viet",1797,14029,43.57747,0.71602,25.977
"contrainsurgencia",1379,6393,33.44092,0.32629,25.968
"fpmr",1139,2014,27.62089,0.10279,25.953
"revisionista",1788,14564,43.35921,0.74332,25.445
"oligarca",1918,17528,46.51173,0.89460,25.077
"camarada",5494,86426,133.23016,4.41105,24.807
"maoísmo",1141,3240,27.66939,0.16536,24.601
"insurrección",3454,48475,83.75992,2.47409,24.398
"burguesía",10135,183048,245.77498,9.34248,23.860
"paramilitarismo",1825,17953,44.25647,0.91629,23.617
"marxista-leninista",1281,7142,31.06440,0.36452,23.499
"epl",1251,6707,30.33690,0.34231,23.345
"dfs",1048,3015,25.41413,0.15388,22.892
"comandancia",2511,34974,60.89206,1.78502,22.223
"insurreccional",1304,9516,31.62216,0.48568,21.958
"paramilitar",6835,129739,165.74957,6.62167,21.878
"antiimperialista",1837,21447,44.54747,1.09462,21.745
"nam",1790,20627,43.40771,1.05277,21.633
"autodefensa",2947,47346,71.46511,2.41646,21.211
"marxismo-leninismo",1149,7142,27.86339,0.36452,21.153
"ultraderecha",2064,27752,50.05225,1.41642,21.127
"policíaco",2420,38452,58.68529,1.96253,20.147
"pcp",1078,7271,26.14163,0.37110,19.796
"militarización",1879,26907,45.56598,1.37329,19.621
"monopolista",1222,11191,29.63365,0.57117,19.497
"leninista",1300,13370,31.52516,0.68238,19.333
"marulanda",1097,8398,26.60238,0.42862,19.321
"revolución",52946,1313602,1283.94690,67.04415,18.884
"aniquilamiento",1073,8615,26.02038,0.43970,18.768
"reformismo",1387,16983,33.63492,0.86679,18.553
"combativo",2979,58030,72.24111,2.96176,18.487
"campesinado",1907,30609,46.24498,1.56223,18.439
"lucha",88864,2287009,2154.96265,116.72529,18.314
"compañeros",1261,14525,30.57940,0.74133,18.135
"opresión",4355,95655,105.60927,4.88208,18.124
"sandinista",2396,44303,58.10329,2.26115,18.123
"socialismo",10796,271368,261.80432,13.85019,17.697
"oprimir",5039,117135,122.19636,5.97838,17.654
"file",1922,33337,46.60873,1.70147,17.623
"latifundista",1101,11570,26.69938,0.59051,17.415
"atenco",1182,14054,28.66364,0.71729,17.273
"clandestinidad",1799,32767,43.62597,1.67238,16.699
"opresor",1918,36294,46.51173,1.85239,16.657
"capitalista",12924,360025,313.40857,18.37510,16.227
"internacionalista",1775,33991,43.04396,1.73485,16.105
"movimientos",1654,31018,40.10970,1.58311,15.915
"mao",1948,40847,47.23923,2.08477,15.638
"contrarrevolución",1239,19512,30.04590,0.99586,15.555
"neoliberal",7089,198981,171.90910,10.15567,15.500
"salvadoreño",3440,88424,83.42042,4.51302,15.313
"campesino",22029,668238,534.20593,34.10580,15.246
"represión",11563,342599,280.40414,17.48571,15.223
"fusil",3421,88696,82.95966,4.52690,15.191
"fascista",5316,149466,128.91364,7.62851,15.056
"marxismo",3558,94058,86.28194,4.80057,15.047
"revolucionarias",1009,13778,24.46837,0.70321,14.953
"arauca",1406,26919,34.09567,1.37390,14.784
"terrateniente",2269,55551,55.02352,2.83523,14.608
"militarmente",1343,25776,32.56791,1.31557,14.497
"comunista",15429,487507,374.15512,24.88158,14.495
"latifundio",1093,17830,26.50538,0.91001,14.401
"zafra",1972,46880,47.82124,2.39268,14.390
"liberación",14677,477369,355.91904,24.36415,14.072
"obrero",24443,807309,592.74573,41.20377,14.069
"táctica",4735,141935,114.82433,7.24414,14.049
"genocida",1988,49099,48.20924,2.50593,14.036
"hostigamiento",1913,47531,46.39048,2.42591,13.833
"oportunismo",1348,28831,32.68916,1.47149,13.631
"revolucion",1146,22269,27.79064,1.13657,13.475
"sabotaje",1598,38215,38.75169,1.95043,13.473
"patria",13938,474059,337.99817,24.19522,13.455
"zedillo",1017,18033,24.66237,0.92038,13.363
"leso",2593,74776,62.88056,3.81645,13.263
"pueblo",136740,4883391,3315.96167,249.24048,13.255
"neoliberalismo",2843,85147,68.94309,4.34577,13.084
"uribe",5446,187418,132.06616,9.56552,12.594
"militante",10969,397114,265.99957,20.26807,12.554
"despojo",2100,62862,50.92525,3.20838,12.339
"subdesarrollado",1224,29410,29.68215,1.50104,12.268
"aniquilar",2238,68786,54.27177,3.51073,12.253
"lenin",3025,99437,73.35661,5.07511,12.240
"miseria",6387,231436,154.88551,11.81212,12.167
"ejército",34179,1318298,828.84491,67.28383,12.153
"enarbolar",1388,36753,33.65917,1.87581,12.052
"somoza",1054,23725,25.55963,1.21089,12.013
"trinchera",1936,58703,46.94823,2.99611,11.999
"montañas",1038,23161,25.17163,1.18210,11.994
"clandestino",4609,166798,111.76881,8.51310,11.854
"azucarero",1932,59946,46.85123,3.05955,11.787
"heroísmo",1125,27791,27.28138,1.41841,11.694
"desenmascarar",1329,36098,32.22841,1.84238,11.690
"heroico",3456,123987,83.80842,6.32810,11.573
"capitalismo",9811,387390,237.91794,19.77177,11.502
"oportunista",1967,63629,47.69999,3.24752,11.466
"luchador",4729,178449,114.67882,9.10775,11.445
"ofensiva",4689,177559,113.70882,9.06233,11.400
"www",1572,47769,38.12119,2.43805,11.379
"masa",27592,1144310,669.10931,58.40376,11.281
"miliciano",1429,42690,34.65342,2.17883,11.216
"mercenario",2380,85252,57.71529,4.35113,10.973
